#time,accel_x,accel_y,accel_z
170.572584,7550.100608,10510.924376,-75996.673402
170.575144,1332.370696,7994.224174,-78294.959896
170.577704,-1036.288319,3701.029710,-78141.740796
170.580264,3108.864956,6365.771101,-75383.797003
170.582824,8290.306550,2220.617826,-79367.493593
170.585384,8142.265362,-1776.494261,-78754.617194
170.587944,16728.654289,2072.576638,-76149.892501
170.590504,14804.118840,12879.583391,-73698.386908
170.593065,-2516.700203,148.041188,-78294.959896
170.595625,-9030.512492,-2220.617826,-78601.398095
170.598185,-12879.583391,-8438.347739,-75843.454302
170.600745,-6069.688724,-8142.265362,-77069.207099
170.603305,-10955.047942,-16284.530724,-78448.178995
170.605865,1480.411884,-12139.377449,-77988.521696
170.608425,4589.276840,-6957.935855,-77222.426198
170.610986,740.205942,-2368.659014,-77528.864398
170.613546,-1924.535449,-3701.029710,-76149.892501
170.616106,-3701.029710,-1480.411884,-77835.302597
170.618666,-9770.718434,-4145.153275,-76303.111601
170.621226,-12139.377449,-9326.594869,-79520.712692
170.623786,-8586.388927,-9030.512492,-77528.864398
170.626346,12583.501014,888.247130,-76149.892501
170.628907,18653.189738,7402.059420,-76762.768900
170.631467,15840.407159,5921.647536,-78141.740796
170.634027,16876.695478,12731.542202,-75690.235202
170.636587,444.123565,14359.995275,-74770.920605
170.639147,0.000000,7550.100608,-77988.521696
170.641707,3701.029710,296.082377,-80593.246390
170.644267,2220.617826,9622.677246,-73238.729609
170.646827,7994.224174,-2072.576638,-78294.959896
170.649388,10658.965565,3108.864956,-78294.959896
170.651948,14063.912898,0.000000,-76303.111601
170.654508,18949.272115,12731.542202,-74617.701505
170.657068,-1776.494261,-1036.288319,-76456.330700
170.659633,-6809.894666,2516.700203,-77375.645298
170.662198,-13175.665768,-6365.771101,-76303.111601
170.664763,-9326.594869,-9030.512492,-76915.987999
170.667328,-6661.853478,-18209.066173,-79061.055394
170.669893,-2664.741391,-13915.871710,-78141.740796
170.672458,3552.988522,-8438.347739,-78448.178995
170.675023,3552.988522,-7994.224174,-78141.740796
170.677588,-740.205942,-4737.318029,-77528.864398
170.680152,-3256.906145,-7105.977043,-75996.673402
170.682717,-8438.347739,-888.247130,-74617.701505
170.685282,-17172.777854,-7402.059420,-78141.740796
170.687847,-3404.947333,-7254.018232,-77375.645298
170.690412,11251.130318,2960.823768,-77682.083497
170.692977,19837.519246,5033.400406,-78601.398095
170.695542,17616.901420,8734.430116,-78141.740796
170.698107,10510.924376,16136.489536,-74311.263306
170.700672,2812.782580,11547.212695,-77528.864398
170.703237,148.041188,11399.171507,-76915.987999
170.705802,-740.205942,4145.153275,-76609.549800
170.708367,3404.947333,6957.935855,-75077.358804
170.710932,5773.606348,-740.205942,-77528.864398
170.713497,15988.448347,-148.041188,-79061.055394
170.716062,14359.995275,2368.659014,-77835.302597
170.718627,17468.860231,4885.359217,-74617.701505
170.721191,-3552.988522,-148.041188,-78448.178995
170.723756,-12287.418637,-8438.347739,-77835.302597
170.726321,-7846.182985,-12435.459826,-77988.521696
170.728886,-7846.182985,-6957.935855,-76149.892501
170.731451,-3701.029710,-17024.736666,-79367.493593
170.734016,-592.164754,-5773.606348,-76303.111601
170.736581,1332.370696,-4145.153275,-76762.768900
170.739146,1184.329507,-3256.906145,-77988.521696
170.741711,444.123565,-6957.935855,-77222.426198
170.744276,-7846.182985,-5773.606348,-75690.235202
170.746841,-7254.018232,-2368.659014,-76149.892501
170.749406,-14508.036463,-12879.583391,-79214.274493
170.751971,4441.235652,-3701.029710,-76915.987999
170.754536,18505.148550,-2368.659014,-80593.246390
170.757101,15544.324782,6069.688724,-78141.740796
170.759666,15840.407159,7846.182985,-76762.768900
170.762205,8290.306550,16580.613101,-72625.853210
170.764745,2812.782580,13619.789333,-76609.549800
170.767285,-444.123565,2960.823768,-78448.178995
170.769825,1776.494261,9178.553681,-75383.797003
170.772365,3849.070898,2812.782580,-77682.083497
170.774905,8142.265362,-1924.535449,-79673.931792
170.777444,12139.377449,2072.576638,-77988.521696
170.779984,18949.272115,13175.665768,-74158.044206
170.782524,8142.265362,9326.594869,-75996.673402
170.785064,-4885.359217,4293.194464,-77069.207099
170.787604,-12435.459826,-11251.130318,-78601.398095
170.790144,-7254.018232,-7846.182985,-78141.740796
170.792684,-11251.130318,-13027.624579,-76915.987999
170.795223,-1924.535449,-17172.777854,-77835.302597
170.797763,2516.700203,-13027.624579,-77835.302597
170.800303,740.205942,-6513.812290,-76149.892501
170.802843,2664.741391,-8586.388927,-79827.150892
170.805383,-3552.988522,-3997.112087,-75230.577904
170.807923,-6809.894666,-1628.453072,-75230.577904
170.810463,-11547.212695,-3849.070898,-77988.521696
170.813002,-17912.983796,-4885.359217,-77222.426198
170.815542,6069.688724,-4737.318029,-79214.274493
170.818082,18801.230927,0.000000,-79673.931792
170.820622,14508.036463,2960.823768,-78907.836294
170.823162,16580.613101,11251.130318,-75383.797003
170.825702,5181.441594,12139.377449,-74924.139704
170.828241,5181.441594,13471.748144,-74311.263306
170.830781,-592.164754,2812.782580,-79673.931792
170.833321,2220.617826,5773.606348,-74924.139704
170.835861,3552.988522,1628.453072,-76149.892501
170.838401,11103.089130,-1480.411884,-78448.178995
170.840941,16580.613101,2516.700203,-77222.426198
170.843481,17912.983796,6809.894666,-76149.892501
170.846020,4145.153275,6513.812290,-76915.987999
170.848560,-7698.141797,2664.741391,-77069.207099
170.851100,-13175.665768,-3404.947333,-76915.987999
170.853640,-10807.006753,-7105.977043,-75537.016103
170.856180,-8290.306550,-18061.024985,-79673.931792
170.858720,-888.247130,-19541.436869,-79673.931792
170.861260,1184.329507,-7550.100608,-76149.892501
170.863780,-1184.329507,-3552.988522,-75843.454302
170.866299,740.205942,-5921.647536,-78601.398095
170.868819,-5477.523971,888.247130,-74311.263306
170.871339,-11991.336260,-1184.329507,-76456.330700
170.873859,-14656.077652,-6957.935855,-77528.864398
170.876379,-5773.606348,-7105.977043,-78601.398095
170.878899,13767.830521,-1776.494261,-79061.055394
170.881419,18209.066173,3256.906145,-79367.493593
170.883939,16728.654289,10955.047942,-75690.235202
170.886459,12435.459826,8882.471304,-76149.892501
170.888979,6069.688724,14063.912898,-74311.263306
170.891499,-1480.411884,8290.306550,-77069.207099
170.894019,4293.194464,444.123565,-78754.617194
170.896539,4589.276840,4737.318029,-77069.207099
170.899059,5921.647536,3256.906145,-76456.330700
170.901579,17468.860231,148.041188,-77988.521696
170.904099,13323.706956,7550.100608,-74924.139704
170.906619,13175.665768,11695.253884,-74158.044206
170.909139,-3108.864956,-3701.029710,-79214.274493
170.911659,-12139.377449,-4293.194464,-77988.521696
170.914179,-10066.800811,-9918.759623,-77069.207099
170.916699,-7402.059420,-7105.977043,-76456.330700
170.919219,-3256.906145,-18505.148550,-78294.959896
170.921739,2664.741391,-13027.624579,-78448.178995
170.924259,1776.494261,-5773.606348,-76456.330700
170.926779,-4441.235652,-7105.977043,-76762.768900
170.929299,-740.205942,-5477.523971,-78141.740796
170.931819,-6217.729913,-2664.741391,-77375.645298
170.934339,-7994.224174,-592.164754,-77222.426198
170.936859,-13915.871710,-3404.947333,-77835.302597
170.939379,4737.318029,-1776.494261,-78141.740796
170.941899,19097.313304,2072.576638,-78601.398095
170.944431,14359.995275,5921.647536,-76915.987999
170.946963,13471.748144,10066.800811,-75537.016103
170.949495,6809.894666,11991.336260,-75383.797003
170.952027,592.164754,9326.594869,-76762.768900
170.954559,3849.070898,5921.647536,-77222.426198
170.957091,1184.329507,3256.906145,-77988.521696
170.959623,5773.606348,1332.370696,-78601.398095
170.962155,10658.965565,1628.453072,-78294.959896
170.964687,16136.489536,1776.494261,-77375.645298
170.967219,20133.601622,6513.812290,-75230.577904
170.969751,1184.329507,1776.494261,-77835.302597
170.972284,-8438.347739,3997.112087,-77375.645298
170.974816,-11991.336260,-5181.441594,-76762.768900
170.977348,-6513.812290,-8290.306550,-78754.617194
170.979880,-5033.400406,-15396.283594,-79214.274493
170.982412,-296.082377,-16432.571912,-78448.178995
170.984944,2664.741391,-8438.347739,-77835.302597
170.987476,-592.164754,-5921.647536,-77835.302597
170.990008,740.205942,-2220.617826,-75537.016103
170.992540,-6069.688724,-4145.153275,-79061.055394
170.995072,-7698.141797,-444.123565,-76149.892501
170.997604,-13323.706956,-5181.441594,-75996.673402
171.000136,-5625.565159,-8882.471304,-78448.178995
171.002668,11991.336260,-592.164754,-79061.055394
171.005200,17320.819043,7254.018232,-77682.083497
171.007732,14952.160028,7994.224174,-76149.892501
171.010264,14656.077652,13323.706956,-75383.797003
171.012796,2072.576638,10955.047942,-75383.797003
171.015329,740.205942,4589.276840,-78141.740796
171.017861,2960.823768,5181.441594,-77528.864398
171.020393,4885.359217,4145.153275,-76762.768900
171.022925,8586.388927,592.164754,-77682.083497
171.025457,14359.995275,-444.123565,-77222.426198
171.027989,15840.407159,2812.782580,-76609.549800
171.030521,12583.501014,8882.471304,-76456.330700
171.033053,-7402.059420,1036.288319,-77528.864398
171.035585,-13767.830521,-9474.636058,-76915.987999
171.038117,-8142.265362,-5625.565159,-75077.358804
171.040649,-9622.677246,-12287.418637,-77835.302597
171.043181,2516.700203,-13323.706956,-77375.645298
171.045724,-444.123565,-9474.636058,-76915.987999
171.048268,3997.112087,-4293.194464,-76762.768900
171.050811,-1628.453072,-6809.894666,-78601.398095
171.053354,-3552.988522,-10658.965565,-77835.302597
171.055897,-5181.441594,-8734.430116,-78294.959896
171.058440,-8586.388927,-5181.441594,-77222.426198
171.060984,-6365.771101,-11103.089130,-78907.836294
171.063527,10362.883188,1036.288319,-77988.521696
171.066070,18209.066173,6957.935855,-77988.521696
171.068613,17764.942608,8882.471304,-77069.207099
171.071156,10807.006753,13323.706956,-75383.797003
171.073700,4885.359217,15248.242405,-73391.948708
171.076243,2516.700203,5625.565159,-77528.864398
171.078786,4293.194464,296.082377,-78601.398095
171.081329,1924.535449,8586.388927,-73391.948708
171.083872,5033.400406,-592.164754,-78294.959896
171.086415,13175.665768,-1924.535449,-77528.864398
171.088959,15692.365970,1332.370696,-76609.549800
171.091502,13175.665768,9622.677246,-74158.044206
171.094045,-1036.288319,-592.164754,-77682.083497
171.096588,-13027.624579,1628.453072,-75537.016103
171.099131,-13323.706956,-10510.924376,-78141.740796
171.101675,-8290.306550,-7698.141797,-77375.645298
171.104218,-2664.741391,-19689.478057,-79980.369991
171.106761,888.247130,-13915.871710,-78601.398095
171.109304,6069.688724,-8734.430116,-77682.083497
171.111847,1776.494261,-6957.935855,-76609.549800
171.114391,-3108.864956,-1924.535449,-75383.797003
171.116934,-8734.430116,-4737.318029,-76915.987999
171.119477,-10510.924376,1332.370696,-74924.139704
171.122020,-11251.130318,-9326.594869,-79061.055394
171.124563,5033.400406,4293.194464,-75843.454302
171.127107,15100.201217,296.082377,-78448.178995
171.129650,19245.354492,9030.512492,-77069.207099
171.132193,10362.883188,9918.759623,-75383.797003
171.134736,7846.182985,12731.542202,-75230.577904
171.137279,6069.688724,8142.265362,-75690.235202
171.139823,444.123565,1332.370696,-79980.369991
171.142366,5921.647536,6957.935855,-76303.111601
171.144909,4885.359217,-148.041188,-78601.398095
171.147467,12879.583391,4589.276840,-77222.426198
171.150018,14804.118840,2664.741391,-76149.892501
171.152570,17172.777854,10955.047942,-75077.358804
171.155122,-5625.565159,1480.411884,-76762.768900
171.157674,-10658.965565,3701.029710,-75690.235202
171.160225,-13619.789333,-9178.553681,-77988.521696
171.162777,-6365.771101,-8142.265362,-77835.302597
171.165329,-6957.935855,-21021.848753,-80286.808190
171.167881,1184.329507,-14508.036463,-77528.864398
171.170433,3701.029710,-11695.253884,-77528.864398
171.172984,-740.205942,-6809.894666,-77069.207099
171.175536,-2812.782580,-5773.606348,-77682.083497
171.178088,-7105.977043,-2812.782580,-75077.358804
171.180640,-8290.306550,-3404.947333,-77528.864398
171.183191,-13323.706956,-7550.100608,-78601.398095
171.185743,592.164754,-296.082377,-76303.111601
171.188295,17468.860231,1036.288319,-77528.864398
171.190847,15396.283594,5921.647536,-77528.864398
171.193399,14211.954086,8142.265362,-76915.987999
171.195950,8438.347739,15988.448347,-74770.920605
171.198502,1924.535449,5477.523971,-77222.426198
171.201054,-740.205942,-148.041188,-79061.055394
171.203606,5625.565159,4737.318029,-75537.016103
171.206157,6365.771101,2072.576638,-77528.864398
171.208709,9770.718434,5181.441594,-77528.864398
171.211261,11547.212695,-296.082377,-77835.302597
171.213813,22798.343014,12139.377449,-74924.139704
171.216364,-740.205942,444.123565,-78754.617194
171.218916,-6513.812290,148.041188,-74924.139704
171.221468,-13471.748144,-7550.100608,-77682.083497
171.224020,-5773.606348,-7698.141797,-75537.016103
171.226572,-6957.935855,-13915.871710,-79214.274493
171.229123,2072.576638,-8586.388927,-76149.892501
171.231675,2960.823768,-7698.141797,-77222.426198
171.234227,2072.576638,-6069.688724,-77375.645298
171.236779,-4293.194464,-5625.565159,-76609.549800
171.239330,-3849.070898,-3552.988522,-75690.235202
171.241882,-10066.800811,-1776.494261,-77682.083497
171.244434,-14211.954086,-8586.388927,-79367.493593
171.246986,3997.112087,-6217.729913,-79980.369991
171.249545,13175.665768,444.123565,-77069.207099
171.252105,16728.654289,7550.100608,-76303.111601
171.254664,12879.583391,9326.594869,-75230.577904
171.257223,7846.182985,12435.459826,-73698.386908
171.259783,148.041188,7402.059420,-76762.768900
171.262342,2072.576638,3997.112087,-76149.892501
171.264901,2368.659014,3701.029710,-77682.083497
171.267461,6809.894666,4737.318029,-77835.302597
171.270020,9326.594869,296.082377,-79061.055394
171.272580,17172.777854,148.041188,-77835.302597
171.275139,19689.478057,10658.965565,-74158.044206
171.277698,-1480.411884,4293.194464,-77528.864398
171.280258,-8290.306550,-1628.453072,-78294.959896
171.282817,-13915.871710,-6217.729913,-76303.111601
171.285377,-8438.347739,-13767.830521,-78448.178995
171.287936,-2072.576638,-18061.024985,-79827.150892
171.290495,-592.164754,-10955.047942,-77835.302597
171.293055,1628.453072,-11251.130318,-77069.207099
171.295614,2812.782580,-2516.700203,-76915.987999
171.298173,-3849.070898,-9178.553681,-76609.549800
171.300733,-1480.411884,-3997.112087,-78601.398095
171.303292,-14952.160028,-1332.370696,-75690.235202
171.305852,-12139.377449,-3404.947333,-75537.016103
171.308411,3701.029710,1776.494261,-76456.330700
171.310970,15396.283594,740.205942,-77528.864398
171.313530,20429.683999,5773.606348,-78907.836294
171.316089,10807.006753,12139.377449,-74158.044206
171.318648,6365.771101,10214.842000,-75537.016103
171.321208,1924.535449,5921.647536,-75843.454302
171.323767,1628.453072,4145.153275,-77528.864398
171.326327,5625.565159,6217.729913,-75690.235202
171.328886,6661.853478,3849.070898,-77835.302597
171.331445,10214.842000,740.205942,-78294.959896
171.334005,14804.118840,0.000000,-76303.111601
171.336564,19393.395680,4441.235652,-74464.482406
171.339124,-7254.018232,444.123565,-76762.768900
171.341683,-11547.212695,-148.041188,-77682.083497
171.344242,-11843.295072,-9622.677246,-77375.645298
171.346802,-5773.606348,-9918.759623,-77375.645298
171.349361,-888.247130,-15100.201217,-77835.302597
171.351926,444.123565,-10658.965565,-77375.645298
171.354491,888.247130,-9474.636058,-77528.864398
171.357056,-148.041188,-4589.276840,-78141.740796
171.359622,-740.205942,-10807.006753,-78754.617194
171.362187,-4589.276840,-740.205942,-75383.797003
171.364752,-14359.995275,-8734.430116,-79367.493593
171.367317,-9622.677246,-7550.100608,-78601.398095
171.369882,3552.988522,3701.029710,-76303.111601
171.372447,19837.519246,3701.029710,-78754.617194
171.375012,19837.519246,11399.171507,-76762.768900
171.377577,8438.347739,7846.182985,-74617.701505
171.380142,2960.823768,8290.306550,-75383.797003
171.382708,1480.411884,4885.359217,-75996.673402
171.385273,4145.153275,592.164754,-77375.645298
171.387838,5477.523971,5477.523971,-78141.740796
171.390403,3849.070898,3404.947333,-77835.302597
171.392968,11843.295072,6661.853478,-75690.235202
171.395533,16728.654289,4737.318029,-75230.577904
171.398098,15396.283594,9918.759623,-73698.386908
171.400663,-2368.659014,1924.535449,-76609.549800
171.403228,-14508.036463,-3849.070898,-76915.987999
171.405794,-10955.047942,-4293.194464,-76456.330700
171.408359,-10214.842000,-11695.253884,-77988.521696
171.410924,740.205942,-18357.107362,-77988.521696
171.413489,-740.205942,-11843.295072,-78907.836294
171.416054,2516.700203,-8438.347739,-76609.549800
171.418619,3552.988522,-4885.359217,-78448.178995
171.421184,-4293.194464,-4145.153275,-74770.920605
171.423749,-5329.482782,-4145.153275,-77375.645298
171.426314,-15692.365970,-888.247130,-76303.111601
171.428880,-9178.553681,-7105.977043,-75996.673402
171.431445,13471.748144,2812.782580,-77528.864398
171.434010,18357.107362,7846.182985,-77069.207099
171.436575,12731.542202,6809.894666,-76762.768900
171.439140,12583.501014,11399.171507,-76303.111601
171.441705,3256.906145,11991.336260,-74924.139704
171.444270,5625.565159,1924.535449,-77682.083497
171.446835,2812.782580,9178.553681,-74924.139704
171.449400,5625.565159,1332.370696,-77835.302597
171.451966,8734.430116,6069.688724,-77528.864398
171.454535,10955.047942,2960.823768,-76303.111601
171.457104,19245.354492,5921.647536,-76915.987999
171.459673,6217.729913,10955.047942,-74924.139704
171.462243,-8734.430116,-1628.453072,-75690.235202
171.464812,-14063.912898,-2516.700203,-76456.330700
171.467381,-13175.665768,-9474.636058,-76762.768900
171.469950,-2220.617826,-16580.613101,-80593.246390
171.472519,0.000000,-14211.954086,-77682.083497
171.475089,592.164754,-11695.253884,-78141.740796
171.477658,1480.411884,-5477.523971,-76456.330700
171.480227,444.123565,-9770.718434,-78754.617194
171.482796,-3849.070898,-10214.842000,-77069.207099
171.485366,-8586.388927,-2812.782580,-77835.302597
171.487935,-17320.819043,-6217.729913,-78141.740796
171.490504,5181.441594,-1184.329507,-77835.302597
171.493073,12287.418637,-2220.617826,-78601.398095
171.495643,18505.148550,4441.235652,-77528.864398
171.498212,13323.706956,9030.512492,-75843.454302
171.500781,6365.771101,12879.583391,-74311.263306
171.503350,6661.853478,11103.089130,-76149.892501
171.505920,3256.906145,6661.853478,-76609.549800
171.508489,3849.070898,7846.182985,-76762.768900
171.511058,6661.853478,3849.070898,-75690.235202
171.513627,8290.306550,1480.411884,-78294.959896
171.516197,15248.242405,3997.112087,-77528.864398
171.518766,18505.148550,10807.006753,-74158.044206
171.521335,-1924.535449,2368.659014,-75996.673402
171.523904,-9326.594869,-4145.153275,-76762.768900
171.526473,-14063.912898,-7994.224174,-77528.864398
171.529043,-7402.059420,-7402.059420,-76303.111601
171.531612,296.082377,-16580.613101,-79367.493593
171.534181,888.247130,-13471.748144,-78907.836294
171.536750,1036.288319,-10807.006753,-76915.987999
171.539320,-592.164754,-5921.647536,-76762.768900
171.541889,-6957.935855,-5625.565159,-75383.797003
171.544458,-3849.070898,-6217.729913,-77375.645298
171.547027,-10066.800811,-3108.864956,-78754.617194
171.549597,-11547.212695,-5033.400406,-77835.302597
171.552166,6513.812290,6069.688724,-76303.111601
171.554735,15988.448347,-740.205942,-78448.178995
171.557308,18653.189738,3701.029710,-77682.083497
171.559881,11991.336260,7402.059420,-76762.768900
171.562454,8438.347739,10066.800811,-75383.797003
171.565026,4441.235652,9326.594869,-76149.892501
171.567599,148.041188,3404.947333,-76149.892501
171.570172,6661.853478,5921.647536,-76456.330700
171.572745,6217.729913,2812.782580,-78448.178995
171.575318,12139.377449,1628.453072,-77835.302597
171.577891,14804.118840,888.247130,-76762.768900
171.580463,11991.336260,14656.077652,-71400.100414
171.583036,-2516.700203,-6365.771101,-79214.274493
171.585609,-8438.347739,-3108.864956,-78141.740796
171.588182,-17172.777854,-9474.636058,-76915.987999
171.590755,-1776.494261,-10362.883188,-78141.740796
171.593328,-1480.411884,-15248.242405,-78294.959896
171.595900,888.247130,-13323.706956,-76915.987999
171.598473,3552.988522,-5625.565159,-76303.111601
171.601046,-3552.988522,-7550.100608,-78448.178995
171.603619,-2812.782580,-7698.141797,-76609.549800
171.606192,-7994.224174,-8734.430116,-79367.493593
171.608765,-13027.624579,-9622.677246,-79520.712692
171.611337,0.000000,-3701.029710,-77069.207099
171.613910,5921.647536,1480.411884,-77682.083497
171.616483,20133.601622,6661.853478,-77222.426198
171.619056,16136.489536,13767.830521,-76303.111601
171.621629,6957.935855,11695.253884,-75690.235202
171.624202,3701.029710,11695.253884,-75537.016103
171.626775,296.082377,8734.430116,-75996.673402
171.629347,3701.029710,5329.482782,-77682.083497
171.631920,8882.471304,6661.853478,-76915.987999
171.634493,7254.018232,2664.741391,-77835.302597
171.637066,13619.789333,2072.576638,-77682.083497
171.639639,18505.148550,4589.276840,-75690.235202
171.642212,3849.070898,-1332.370696,-76456.330700
171.644784,-8142.265362,-1184.329507,-76149.892501
171.647357,-14656.077652,-9474.636058,-77069.207099
171.649930,-6365.771101,-1036.288319,-76456.330700
171.652503,-8586.388927,-16580.613101,-80133.589091
171.655076,2072.576638,-8438.347739,-76915.987999
171.657649,-296.082377,-5921.647536,-75996.673402
171.660225,-1184.329507,-6809.894666,-77988.521696
171.662800,-296.082377,148.041188,-74617.701505
171.665376,-6217.729913,-4885.359217,-77528.864398
171.667952,-9474.636058,1332.370696,-77375.645298
171.670528,-15988.448347,-7846.182985,-77835.302597
171.673104,9622.677246,-888.247130,-78907.836294
171.675680,15248.242405,-740.205942,-79980.369991
171.678256,22798.343014,7254.018232,-75843.454302
171.680832,14508.036463,11251.130318,-75383.797003
171.683408,2812.782580,13767.830521,-75077.358804
171.685984,4145.153275,7105.977043,-76609.549800
171.688560,3701.029710,888.247130,-77682.083497
171.691136,1628.453072,5033.400406,-74770.920605
171.693712,7994.224174,740.205942,-79214.274493
171.696288,11399.171507,3256.906145,-76456.330700
171.698864,19837.519246,3849.070898,-76456.330700
171.701440,4737.318029,8290.306550,-74158.044206
171.704016,-4293.194464,-3997.112087,-78448.178995
171.706591,-13767.830521,-4145.153275,-77528.864398
171.709167,-8734.430116,-12435.459826,-79673.931792
171.711743,-3404.947333,-6661.853478,-77988.521696
171.714319,-1332.370696,-4293.194464,-75077.358804
171.716895,4885.359217,-9326.594869,-78601.398095
171.719471,740.205942,-4145.153275,-77069.207099
171.722047,-2812.782580,-3849.070898,-74617.701505
171.724623,-4293.194464,-6957.935855,-75843.454302
171.727199,-13471.748144,-4589.276840,-77682.083497
171.729775,-10362.883188,-12879.583391,-80286.808190
171.732351,4293.194464,3404.947333,-78141.740796
171.734927,17320.819043,-1036.288319,-78294.959896
171.737503,19689.478057,9326.594869,-76915.987999
171.740079,10066.800811,11103.089130,-74311.263306
171.742655,1036.288319,13619.789333,-75230.577904
171.745231,7402.059420,9918.759623,-76303.111601
171.747807,148.041188,5181.441594,-77069.207099
171.750382,6217.729913,4589.276840,-76609.549800
